kind,seed_index,delta
main,0,nan
main,1,nan
main,2,nan
main,3,nan
main,4,nan
main,5,nan
main,6,nan
main,7,nan
main,8,nan
main,9,nan
main,10,nan
main,11,nan
main,12,nan
main,13,nan
main,14,nan
main,15,nan
main,16,nan
main,17,nan
main,18,nan
main,19,nan
main,20,nan
main,21,nan
main,22,nan
main,23,nan
main,24,nan
main,25,nan
main,26,nan
main,27,nan
main,28,nan
main,29,nan
placebo,0,nan
placebo,1,nan
placebo,2,nan
placebo,3,nan
placebo,4,nan
placebo,5,nan
placebo,6,nan
placebo,7,nan
placebo,8,nan
placebo,9,nan
placebo,10,nan
placebo,11,nan
placebo,12,nan
placebo,13,nan
placebo,14,nan
placebo,15,nan
placebo,16,nan
placebo,17,nan
placebo,18,nan
placebo,19,nan
placebo,20,nan
placebo,21,nan
placebo,22,nan
placebo,23,nan
placebo,24,nan
placebo,25,nan
placebo,26,nan
placebo,27,nan
placebo,28,nan
placebo,29,nan
temporal,0,nan
temporal,1,nan
temporal,2,nan
temporal,3,nan
temporal,4,nan
temporal,5,nan
temporal,6,nan
temporal,7,nan
temporal,8,nan
temporal,9,nan
temporal,10,nan
temporal,11,nan
temporal,12,nan
temporal,13,nan
temporal,14,nan
temporal,15,nan
temporal,16,nan
temporal,17,nan
temporal,18,nan
temporal,19,nan
temporal,20,nan
temporal,21,nan
temporal,22,nan
temporal,23,nan
temporal,24,nan
temporal,25,nan
temporal,26,nan
temporal,27,nan
temporal,28,nan
temporal,29,nan
target,0,nan
target,1,nan
target,2,nan
target,3,nan
target,4,nan
target,5,nan
target,6,nan
target,7,nan
target,8,nan
target,9,nan
target,10,nan
target,11,nan
target,12,nan
target,13,nan
target,14,nan
target,15,nan
target,16,nan
target,17,nan
target,18,nan
target,19,nan
target,20,nan
target,21,nan
target,22,nan
target,23,nan
target,24,nan
target,25,nan
target,26,nan
target,27,nan
target,28,nan
target,29,nan
