model,E,regime,N_cross,N_star,interior,N_cross_minus_N_star,coincide_pm1
linear,1.6,plateau,3.109,5.594,True,-2.485,False
linear,2.347,plateau,3.526,5.632,True,-2.106,False
linear,3.442,plateau,4.122,5.589,True,-1.467,False
linear,5.048,plateau,4.914,5.644,True,-0.730,True
linear,7.403,plateau,5.554,5.537,True,0.017,True
linear,10.86,rise,6.315,8.964,True,-2.649,False
linear,15.92,rise,7.191,8.708,True,-1.517,False
linear,23.36,rise,8.182,8.192,True,-0.010,True
linear,34.25,rise,9.303,10.929,True,-1.626,False
linear,50.24,rise,10.583,8.985,True,1.598,False
linear,73.68,rise,12.055,12.092,True,-0.037,True
linear,108.1,rise,13.696,15.000,True,-1.304,False
linear,158.5,rise,15.571,16.393,True,-0.822,True
linear,232.4,rise,17.723,17.689,True,0.034,True
linear,340.9,rise,20.143,21.000,False,nan,False
linear,500,rise,22.889,22.978,False,nan,False
pairwise,1.92,plateau,3.066,4.642,True,-1.575,False
pairwise,4.699,plateau,3.425,4.642,True,-1.217,False
pairwise,11.5,plateau,4.071,4.693,True,-0.622,True
pairwise,28.15,plateau,4.575,4.732,True,-0.156,True
pairwise,68.9,plateau,5.270,4.833,True,0.436,True
pairwise,168.6,plateau,6.112,5.363,True,0.749,True
pairwise,412.7,rise,7.051,6.867,True,0.183,True
pairwise,1010,rise,8.093,7.967,True,0.126,True
pairwise,2472,rise,9.285,9.437,True,-0.152,True
pairwise,6051,rise,10.719,10.570,True,0.148,True
pairwise,1.481e+04,rise,12.363,12.515,True,-0.152,True
pairwise,3.624e+04,rise,14.288,14.489,True,-0.201,True
pairwise,8.871e+04,rise,16.509,16.514,True,-0.004,True
pairwise,2.171e+05,rise,19.113,19.515,False,nan,False
