E,nstar_chi,nstar_cross,interior,R_of_E
1.9200,4.652,4.642,True,1.385
4.6993,4.652,4.642,True,3.390
11.5014,4.665,4.693,True,8.296
28.1495,4.684,4.732,True,20.306
68.8955,4.840,4.833,True,49.698
168.6207,4.966,5.363,True,121.634
412.6968,5.972,6.867,True,198.465
1010.0698,7.821,7.967,True,485.741
2472.1319,9.015,9.437,True,1188.844
6050.5089,11.001,10.570,True,2909.680
14808.5373,12.903,12.515,True,5341.051
36243.6914,14.926,14.489,True,13072.148
88705.9366,17.000,16.514,True,31993.904
217106.5605,21.000,19.515,False,78304.640
